,word,tag,sentence,orig_text,sent_id,idk
3856,septentriones,O,5,GW,GW_5,True
3880,septentriones,O,8,GW,GW_8,True
19008,septentriones,O,842,GW,GW_842,True
35961,septentriones,O,1832,GW,GW_1832,True
49235,Onesicrito,B-PERS,118,PlinyElder,PlinyElder_118,True
50274,Hegesia,O,463,PlinyElder,PlinyElder_463,True
51655,Onesicrito,O,715,PlinyElder,PlinyElder_715,True
52567,Onesicrito,B-PERS,878,PlinyElder,PlinyElder_878,True
52891,Onesicrito,O,947,PlinyElder,PlinyElder_947,True
53147,Onesicrito,O,1051,PlinyElder,PlinyElder_1051,True
64828,septentrionem,O,3106,PlinyElder,PlinyElder_3106,True
65538,septentrionem,O,3132,PlinyElder,PlinyElder_3132,True
67475,septentrione,O,3220,PlinyElder,PlinyElder_3220,True
67690,Veneri,B-PERS,3227,PlinyElder,PlinyElder_3227,True
69596,septentrionem,B-LOC,3330,PlinyElder,PlinyElder_3330,True
69963,septentrione,B-LOC,3368,PlinyElder,PlinyElder_3368,True
70123,septentriones,B-LOC,3382,PlinyElder,PlinyElder_3382,True
70493,septentrione,O,3407,PlinyElder,PlinyElder_3407,True
73371,septentriones,O,3555,PlinyElder,PlinyElder_3555,True
73954,septentrionem,O,3576,PlinyElder,PlinyElder_3576,True
73996,septentrionem,B-LOC,3580,PlinyElder,PlinyElder_3580,True
74113,septentrionem,O,3583,PlinyElder,PlinyElder_3583,True
96562,Onesicrito,O,438,PlinyElder,PlinyElder_438,True
99448,Venus,B-PERS,3140,PlinyElder,PlinyElder_3140,True
100544,septentrionem,B-LOC,3579,PlinyElder,PlinyElder_3579,True
