id,form,lemma,upos,ent_label_BERT,ent_label_BERT_hypopt,ent_label_SpaCy,ent_label_CRF,BIO_gold,20,21,DIFF,err_ent_label_BERT,err_ent_label_BERT_hypopt,err_ent_label_SpaCy,err_ent_label_CRF,count_wrong,IOB,label,IOB_BERT,label_BERT,IOB_BERT2,label_BERT2,IOB_SpaCy,label_SpaCy,IOB_CRF,label_CRF
17,Caesaris,caesar,PROPN,B-PERS,O,B-PERS,B-PERS,B-PERS,,,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
7,Leucopetram,leucopetra,PROPN,B-LOC,O,B-LOC,B-LOC,B-LOC,,,DIFF,,ERROR,,,1.0,B,LOC,B,LOC,O,,B,LOC,B,LOC
24,Regini,reginus,ADJ,B-GRP,B-LOC,B-PERS,B-PERS,I-GRP,,,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,I,GRP,B,GRP,B,LOC,B,PERS,B,PERS
9,Romano,romanus,ADJ,B-GRP,O,O,B-PERS,B-GRP,,,DIFF,,ERROR,ERROR,ERROR,3.0,B,GRP,B,GRP,O,,O,,B,PERS
8,Caesaris,caesar,PROPN,B-PERS,O,B-PERS,B-PERS,B-PERS,,,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
11,Caesaris,caesar,PROPN,B-PERS,O,B-PERS,B-PERS,B-PERS,,,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
3,Gracchi,gracchus,PROPN,O,B-PERS,B-PERS,B-GRP,B-PERS,,,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,B,GRP
5,Semproniae,sempronius,ADJ,O,B-PERS,O,B-LOC,B-PERS,,,DIFF,ERROR,,ERROR,ERROR,3.0,B,PERS,O,,B,PERS,O,,B,LOC
9,Corneliae,cornelius,ADJ,O,B-PERS,B-PERS,I-PERS,B-PERS,,,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,I,PERS
8,Pompeia,pompeius,ADJ,O,B-PERS,B-PERS,B-LOC,B-PERS,,,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,B,LOC
8,Romano,romanus,ADJ,O,B-GRP,O,B-GRP,B-GRP,,,DIFF,ERROR,,ERROR,,2.0,B,GRP,O,,B,GRP,O,,B,GRP
35,Caesaris,caesar,PROPN,B-PERS,O,B-PERS,B-PERS,B-PERS,,,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
30,Romano,romanus,ADJ,B-GRP,O,O,B-PERS,B-GRP,,,DIFF,,ERROR,ERROR,ERROR,3.0,B,GRP,B,GRP,O,,O,,B,PERS
10,Romani,romanus,ADJ,B-GRP,O,O,B-GRP,B-GRP,,,DIFF,,ERROR,ERROR,,2.0,B,GRP,B,GRP,O,,O,,B,GRP
1,sin,sin,SCONJ,O,I-PERS,O,O,O,,,DIFF,,ERROR,,,1.0,O,,O,,I,PERS,O,,O,
8,Romano,romanus,ADJ,B-GRP,O,O,B-PERS,B-GRP,,,DIFF,,ERROR,ERROR,ERROR,3.0,B,GRP,B,GRP,O,,O,,B,PERS
